text,label
Ünlü profesör açıkladı: Limon ve karbonatı karıştırıp içerseniz kanser 24 saatte yok oluyor. İlaç firmaları bunu saklıyor!,0
Şok iddia! Aşıların içinde takip çipi olduğu kanıtlandı. Belgeler sızdırıldı.,0
Bu çayı içen haftada 10 kilo veriyor! Diyetisyenlerin gizlediği mucize formül.,0
Soğan kabuğunu kaynatıp içerseniz virüs vücudunuza giremez. Bilim dünyası şaşkın.,0
"Emekliye dev müjde! Sabah saatlerinde açıklandı, maaşlara rekor zam geliyor. İşte yeni tablo...",0
Ünlü oyuncu hayatını kaybetti mi? Sevenleri yasta! İşte o paylaşım...,0
Whatsapp kullananlar dikkat! Yarından itibaren paralı oluyor. Hemen bu ayarı kapatın.,0
"Meteoroloji uyardı: Kar geliyor, kapıdan dışarı çıkmayın! Tarih verildi.",0
Yatırım tavsiyesidir! Bu coini alan yarın zengin olacak. Elon Musk sinyali verdi.,0
Devlet herkese karşılıksız 5000 TL dağıtıyor! Başvuru için linke tıklayın.,0
Bedava internet kampanyası başladı! Telefon numaranızı girin 10 GB kazanın.,0
Dünyayı yöneten 5 aile toplantı yaptı. İnsan nüfusunu azaltma kararı aldılar.,0
Harp teknolojisi ile deprem yapıldı. Gökyüzündeki ışıklar bunu kanıtlıyor.,0
"Sağlık Bakanlığı, grip vakalarındaki artışa karşı vatandaşları uyardı. Maske ve mesafe önem taşıyor.",1
"Meteoroloji Genel Müdürlüğü, Marmara Bölgesi için sağanak yağış uyarısında bulundu.",1
Merkez Bankası faiz kararını açıkladı. Politika faizi sabit tutuldu.,1
"Milli Eğitim Bakanlığı, okulların açılacağı tarihi resmi sitesinden duyurdu.",1
"Polis ekipleri, uyuşturucu satıcılarına yönelik şafak operasyonu düzenledi. Çok sayıda gözaltı var.",1
